2023
107, 0, 0
148, 2, 2
25, 2, 552
3.5, 3, 414
1, 3, 1186
163, 4, 4
11, 4, 484
14.5, 5, 406
21, 5, 612
152, 6, 6
15.5, 6, 624
14, 6, 714
7, 7, 1730
130.5, 8, 8
6.5, 8, 1282
16, 9, 1568
12.5, 9, 1938
15.5, 9, 1966
148.5, 10, 10
12, 10, 518
17.5, 10, 1864
1, 10, 2010
119.5, 12, 12
13, 13, 414
156.5, 14, 14
135, 16, 16
20.5, 16, 1374
2, 16, 1666
135.5, 18, 18
14, 18, 384
12.5, 18, 724
145.5, 20, 20
3, 20, 1360
17, 21, 1308
147, 22, 22
3.5, 22, 892
15, 23, 954
133, 24, 24
8, 24, 162
110.5, 26, 26
103, 28, 28
16, 29, 968
133.5, 30, 30
17.5, 30, 1474
8, 31, 1582
140, 32, 32
18.5, 33, 668
1.5, 33, 1818
129, 34, 34
13.5, 35, 1514
166, 36, 36
19, 36, 66
22, 36, 868
10.5, 36, 1346
14, 36, 1788
23, 37, 408
15, 37, 1100
14.5, 37, 1816
165.5, 38, 38
22, 38, 790
16.5, 39, 1220
9, 39, 1836
5, 39, 1860
136.5, 40, 40
2, 40, 278
3, 40, 806
127.5, 42, 42
12, 42, 148
3.5, 43, 1368
21, 43, 1482
161, 44, 44
22.5, 44, 82
11.5, 44, 536
5.5, 44, 1776
21, 44, 1938
2, 45, 716
143.5, 46, 46
15, 47, 1198
20, 47, 1388
137, 48, 48
16.5, 49, 1770
140, 50, 50
3, 50, 180
18, 51, 324
111.5, 52, 52
11, 52, 1362
12.5, 53, 816
24, 53, 902
124.5, 54, 54
9.5, 54, 426
13.5, 55, 1036
108, 56, 56
6, 57, 212
25, 57, 396
15.5, 57, 628
3, 57, 1144
119.5, 58, 58
9.5, 58, 976
20, 59, 42
22, 59, 690
11.5, 59, 1880
150, 60, 60
25, 60, 332
155.5, 62, 62
11, 62, 1070
142, 64, 64
14, 64, 822
8, 65, 10
171, 66, 66
20.5, 66, 638
21.5, 66, 1714
134.5, 68, 68
9, 68, 610
15, 69, 260
9.5, 69, 1152
145, 70, 70
21, 70, 392
11, 71, 1312
131, 72, 72
21.5, 72, 1576
17.5, 73, 714
13, 73, 1128
102.5, 74, 74
2, 74, 322
147.5, 76, 76
20.5, 76, 1672
3.5, 76, 1828
20.5, 77, 1402
119.5, 78, 78
19, 78, 1688
18.5, 79, 204
20, 79, 206
121, 80, 80
9.5, 80, 1450
8, 81, 1962
154.5, 82, 82
4.5, 82, 1060
21, 82, 1536
22, 83, 656
101.5, 84, 84
11.5, 85, 36
9, 85, 306
12, 85, 412
124.5, 86, 86
124.5, 88, 88
9, 89, 1898
129.5, 90, 90
5, 90, 608
24, 90, 938
25.5, 91, 1300
24, 91, 1520
159.5, 92, 92
25.5, 92, 108
14, 92, 1072
22.5, 93, 894
8, 93, 1564
131, 94, 94
9, 94, 668
10.5, 95, 802
5.5, 95, 1832
167, 96, 96
21, 96, 784
9, 97, 722
4.5, 97, 882
14.5, 97, 994
110.5, 98, 98
3.5, 98, 176
6.5, 98, 852
8, 99, 268
156.5, 100, 100
16, 100, 238
7.5, 100, 984
13, 100, 1906
7.5, 101, 238
16, 101, 430
120, 102, 102
19.5, 102, 1068
21.5, 103, 1494
23, 103, 1634
145, 104, 104
25.5, 104, 332
109, 106, 106
25.5, 107, 1452
168, 108, 108
