2023
14, 0, 296
24.5, 1, 276
12, 1, 656
4, 1, 1672
259.5, 2, 2
25, 2, 552
8.5, 2, 952
3.5, 3, 414
20, 3, 1056
1, 3, 1186
314, 4, 4
11, 4, 484
14.5, 5, 406
21, 5, 612
25.5, 5, 1420
320, 6, 6
15.5, 6, 624
8, 6, 686
14, 6, 714
14, 6, 1696
20, 7, 756
3.5, 7, 870
7, 7, 1730
297, 8, 8
21.5, 8, 284
6.5, 8, 1282
17.5, 9, 1484
16, 9, 1568
12.5, 9, 1938
15.5, 9, 1966
307.5, 10, 10
12, 10, 518
17.5, 10, 1864
1, 10, 2010
15.5, 11, 1460
225.5, 12, 12
5.5, 12, 1740
13, 13, 414
275, 14, 14
6, 15, 248
12, 15, 506
7, 15, 1032
255, 16, 16
2.5, 16, 466
4.5, 16, 900
20.5, 16, 1374
2, 16, 1666
24.5, 17, 122
14.5, 17, 2018
290.5, 18, 18
14, 18, 384
8, 18, 638
12.5, 18, 724
19.5, 18, 1124
22, 18, 1292
253.5, 20, 20
3, 20, 1360
17, 21, 1308
249.5, 22, 22
3.5, 22, 892
22, 23, 310
15, 23, 954
12.5, 24, 10
293, 24, 24
8, 24, 162
215.5, 26, 26
4.5, 26, 418
18, 27, 808
214.5, 28, 28
8, 28, 446
16, 29, 968
7.5, 29, 1996
20, 29, 2022
244.5, 30, 30
1, 30, 350
17.5, 30, 1474
15, 31, 218
24, 31, 1470
8, 31, 1582
276, 32, 32
11.5, 32, 1424
13.5, 32, 1464
3, 32, 1730
18.5, 33, 668
13, 33, 1250
1.5, 33, 1818
261.5, 34, 34
13, 34, 116
25, 35, 906
13.5, 35, 1514
290, 36, 36
19, 36, 66
5, 36, 370
22, 36, 868
10.5, 36, 1346
14, 36, 1788
23, 37, 408
15, 37, 1100
3, 37, 1802
14.5, 37, 1816
298, 38, 38
22, 38, 790
16.5, 39, 1220
15.5, 39, 1480
9, 39, 1836
5, 39, 1860
252.5, 40, 40
2, 40, 278
3, 40, 806
15.5, 40, 1998
8.5, 41, 1556
251.5, 42, 42
12, 42, 148
23.5, 42, 1202
3.5, 43, 1368
21, 43, 1482
303.5, 44, 44
22.5, 44, 82
11.5, 44, 536
19.5, 44, 954
4.5, 44, 1356
18, 44, 1550
5.5, 44, 1776
21, 44, 1938
25, 45, 632
2, 45, 716
7, 45, 1764
283, 46, 46
14.5, 46, 1838
15, 47, 1198
20, 47, 1388
22.5, 47, 1882
259, 48, 48
16.5, 49, 1770
254, 50, 50
3, 50, 180
3, 50, 1338
10.5, 50, 1392
18, 51, 324
4, 51, 564
4.5, 51, 872
243, 52, 52
11, 52, 1362
18, 52, 1686
1.5, 53, 252
12.5, 53, 816
24, 53, 902
20.5, 53, 1566
238.5, 54, 54
9.5, 54, 426
11.5, 55, 536
