2023
-107, 0, 0
14, 0, 296
24.5, 1, 276
12, 1, 656
4, 1, 1672
111.5, 2, 2
8.5, 2, 952
20, 3, 1056
151, 4, 4
25.5, 5, 1420
168, 6, 6
8, 6, 686
14, 6, 1696
20, 7, 756
3.5, 7, 870
166.5, 8, 8
21.5, 8, 284
17.5, 9, 1484
159, 10, 10
15.5, 11, 1460
106, 12, 12
5.5, 12, 1740
118.5, 14, 14
6, 15, 248
12, 15, 506
7, 15, 1032
120, 16, 16
2.5, 16, 466
4.5, 16, 900
24.5, 17, 122
14.5, 17, 2018
155, 18, 18
8, 18, 638
19.5, 18, 1124
22, 18, 1292
108, 20, 20
102.5, 22, 22
22, 23, 310
12.5, 24, 10
160, 24, 24
105, 26, 26
4.5, 26, 418
18, 27, 808
111.5, 28, 28
8, 28, 446
7.5, 29, 1996
20, 29, 2022
111, 30, 30
1, 30, 350
15, 31, 218
24, 31, 1470
136, 32, 32
11.5, 32, 1424
13.5, 32, 1464
3, 32, 1730
13, 33, 1250
132.5, 34, 34
13, 34, 116
25, 35, 906
124, 36, 36
5, 36, 370
3, 37, 1802
132.5, 38, 38
15.5, 39, 1480
116, 40, 40
15.5, 40, 1998
8.5, 41, 1556
124, 42, 42
23.5, 42, 1202
142.5, 44, 44
19.5, 44, 954
4.5, 44, 1356
18, 44, 1550
25, 45, 632
7, 45, 1764
139.5, 46, 46
14.5, 46, 1838
22.5, 47, 1882
122, 48, 48
114, 50, 50
3, 50, 1338
10.5, 50, 1392
4, 51, 564
4.5, 51, 872
131.5, 52, 52
18, 52, 1686
1.5, 53, 252
20.5, 53, 1566
114, 54, 54
11.5, 55, 536
120.5, 56, 56
3, 56, 800
13.5, 56, 1120
24, 57, 1354
129.5, 58, 58
4.5, 58, 650
24.5, 58, 1048
23.5, 59, 426
152, 60, 60
21, 60, 1834
19.5, 61, 442
15, 61, 1062
121.5, 62, 62
21, 62, 374
3, 63, 432
4, 63, 874
21, 63, 1282
115, 64, 64
146.5, 66, 66
8, 66, 938
8.5, 67, 602
20, 67, 1786
122.5, 68, 68
7, 68, 102
11, 68, 228
3, 68, 1972
105, 70, 70
2, 71, 1626
17.5, 71, 1726
139, 72, 72
21, 72, 1130
4.5, 72, 1606
17, 73, 974
133, 74, 74
6, 74, 694
11, 74, 944
2, 75, 588
125, 76, 76
18.5, 76, 1044
6, 76, 1748
5.5, 77, 886
105.5, 78, 78
119.5, 80, 80
17, 80, 454
179, 82, 82
24.5, 82, 796
17, 82, 2006
15, 83, 644
2, 83, 1390
14, 83, 2012
113.5, 84, 84
13, 84, 1480
11, 85, 60
4, 85, 116
22, 85, 1104
125, 86, 86
1, 86, 334
12, 87, 1952
107, 88, 88
6.5, 88, 210
16, 89, 316
17.5, 89, 1388
134, 90, 90
9, 90, 796
19.5, 90, 1158
16.5, 91, 1762
137, 92, 92
12, 92, 1284
23.5, 92, 1912
21, 93, 50
117, 94, 94
16.5, 94, 646
